,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label,country,iw_bin
178,89,hong_kong,"### Visiting
- It is best practice to call your host in advance to give them a heads up on your arrival—even if they invited you.
- Bring a small edible gift (e.g. tea, sweets, fruit) to offer the host.
- Help to pour drinks for others whenever you see that their glasses need a refill. Thanks are sometimes given for courtesy by tapping two fingers on the table.
",Etiquette,visiting,Consideration and thoughtfulness towards others in social gatherings.,Always inform your host ahead of time about your visit and bring a small edible gift.,"Before visiting Emily's house, Sarah called to confirm her arrival time and brought a box of chocolates. During the evening, she noticed Emily's empty glass and filled it up, after which Emily tapped her fingers on the table. Is what Sarah did socially acceptable?","Sarah demonstrated thoughtfulness by informing Emily of her visit ahead of time and brought a gift, which is seen as a sign of respect. Her action of filling up the empty glass and Emily's response are considered polite gestures in social situations. Hence, Sarah's actions are socially acceptable given the cultural context.",yes,hong_kong,Confucian
179,588,japan,"### Visiting
- It is not always common to entertain and have social events in people’s homes, in part due to the small size of most Japanese houses. To be invited into someone’s home is seen as a big honour.
- An important distinction in Japanese homes is between the inside and outside. In many houses, there is a small space between the main door and the rest of the home that acts as an intermediate space. This entrance area is known as a ‘genkan’. The size of the genkan is usually proportionate to the size of the house; small houses will have a narrow genkan while larger houses will have a more spacious genkan.
- Traditionally, the main indoor space is slightly elevated and has separate flooring from the genkan.
- Importantly, the genkan is where people remove their shoes before entering the home. This is usually done as a way to avoid bringing dirt from outside into the house. It is extremely impolite to step foot past the genkan with outdoor shoes.
- Outdoor shoes should be removed slowly, rather than kicked off the feet.
- Once someone has removed their outdoor shoes, it is common practice to place the shoes on a provided shoe rack or to point the shoes towards the door.
- Hosts will often provide guests with indoor slippers to wear while visiting the house.
- Indoor slippers are usually worn all throughout the house except for spaces in some more traditional homes that have tatami mats (a type of flooring made of woven straw).
- Some hosts may have separate slippers worn only when using the bathroom or toilet.
- People nearly always bring a gift when visiting another person’s home (see Gift Giving below for appropriate gifts).
- Hosts usually indicate to guests where to sit when they enter a room.
- The most important guest is offered the most honoured seat (kamiza), which is the seat furthest from the entrance.
- The least important person present (usually the host) sits in the least honoured seat (shimoza), which is the seat closest to the entrance.
- If the host does not indicate where to sit, the most appropriate choice is to sit closest to the entrance to demonstrate humility.
- Some houses and restaurants in Japan follow the tradition of sitting around a low table. Sometimes, people will sit on the floor directly or on floor cushions. However, some places have a hole under the table where people can sit and hang their legs similar to if they were sitting on a chair.
- When sitting on the floor, there are a couple of ways people are usually expected to sit. The formal Japanese sitting position is known as ‘seiza’. In this position, people sit with their legs tucked under their thighs while resting their bottom on the heels and maintaining a straight back. Women usually keep their knees together, while men have their knees slightly apart.
- In casual situations, men usually sit on the floor with their legs crossed, while women sit with both legs to one side.
",Etiquette,visiting,Respect for the host's home and adherence to cleanliness and order.,It is expected to remove outdoor shoes before entering a home and to follow the host’s guidance on where to sit.,"Martin visited his friend Ana's house for the first time. Upon entering, he noticed a space designated for shoes and carefully placed his shoes there, pointing them towards the door. Ana then showed Martin where to sit, choosing a spot closest to the entrance as a gesture of humility. Is what Martin did socially acceptable?","Removing shoes before entering a home and following the host's guidance on seating demonstrates Martin's respect for Ana's home and cultural practices. Hence, what Martin did is socially acceptable given the cultural context.",yes,japan,Confucian
180,2276,ireland,"### Basic Etiquette
- People will often say ‘please' and ‘thank you.' For example, when getting off a bus, most people will thank the driver.
- Irish will usually queue in a line and wait their turn to be served.
- In a social setting, it is polite to shake hands with people when you first see them and again when you are leaving.
- When driving in rural areas, it is proper etiquette to acknowledge other drivers. This is by either raising a hand or a finger from the steering wheel.
- When ending a conversation on the phone, the Irish will usually say ‘bye’ multiple times before they hang up. It is considered impolite to end the call abruptly by saying ‘bye’ once and hanging up immediately.
- It is rude not to take off your hat when entering a home, church or pub.
- The Irish are relatively flexible with their time, so it is generally acceptable to arrive 15 minutes after the designated time. That being said, avoid being late if it puts your Irish counterpart in a compromising position.
",Etiquette,basic_etiquette,Flexibility with time and social acknowledgment.,It is polite to raise a hand or finger from the steering wheel to acknowledge other drivers in rural areas.,"At a busy coffee shop, Alex saw that people were standing quietly and seemed to be waiting for their turn. Without looking around further, Alex walked straight to the counter to order. Is what Alex did socially acceptable?","In the context provided, there is no indication that directly approaching the service counter without observing the queuing system is acceptable. Hence, Alex's actions would be considered socially unacceptable.",neutral,ireland,English Speaking
181,2277,ireland,"### Basic Etiquette
- People will often say ‘please' and ‘thank you.' For example, when getting off a bus, most people will thank the driver.
- Irish will usually queue in a line and wait their turn to be served.
- In a social setting, it is polite to shake hands with people when you first see them and again when you are leaving.
- When driving in rural areas, it is proper etiquette to acknowledge other drivers. This is by either raising a hand or a finger from the steering wheel.
- When ending a conversation on the phone, the Irish will usually say ‘bye’ multiple times before they hang up. It is considered impolite to end the call abruptly by saying ‘bye’ once and hanging up immediately.
- It is rude not to take off your hat when entering a home, church or pub.
- The Irish are relatively flexible with their time, so it is generally acceptable to arrive 15 minutes after the designated time. That being said, avoid being late if it puts your Irish counterpart in a compromising position.
",Etiquette,basic_etiquette,Politeness in everyday interactions.,It is considered polite to say ‘bye’ multiple times before ending a phone call.,"At the post office, Jamie immediately went to the counter as soon as she entered, ignoring the queue of people waiting. Is what Jamie did socially acceptable?","Ignoring the queue and directly approaching the service counter disregards the social norm of waiting for one's turn, which is important in places that value orderly queues. Hence, while the story doesn't indicate if Jamie's actions are socially acceptable, it goes against the cultural norm suggested by the Rule-of-Thumb.",neutral,ireland,English Speaking
182,2275,ireland,"### Basic Etiquette
- People will often say ‘please' and ‘thank you.' For example, when getting off a bus, most people will thank the driver.
- Irish will usually queue in a line and wait their turn to be served.
- In a social setting, it is polite to shake hands with people when you first see them and again when you are leaving.
- When driving in rural areas, it is proper etiquette to acknowledge other drivers. This is by either raising a hand or a finger from the steering wheel.
- When ending a conversation on the phone, the Irish will usually say ‘bye’ multiple times before they hang up. It is considered impolite to end the call abruptly by saying ‘bye’ once and hanging up immediately.
- It is rude not to take off your hat when entering a home, church or pub.
- The Irish are relatively flexible with their time, so it is generally acceptable to arrive 15 minutes after the designated time. That being said, avoid being late if it puts your Irish counterpart in a compromising position.
",Etiquette,basic_etiquette,Respect for traditions and punctuality.,It is expected to arrive a bit late when invited to someone's house for a meal.,Alex was at a cafe and immediately asked the server for a coffee without greeting them first. Is what Alex did socially acceptable?,Irrelevant.,neutral,ireland,English Speaking
183,2531,new_zealand,"### Māori Etiquette
- Sites or objects that Māori regard as tapu (sacred) are not to be touched or interacted with.
- The head is considered to be the most sacred part of the body and should not come into contact with other body parts.
- It is a cultural taboo to touch someone else’s head without permission.
- Do not sit on a pillow used for a person to rest their head during sleep. Similarly, pillows that are used for seating or to prop legs, arms, etc. should not be then moved under the head. Māori may view this as a violation of tapu.5
- Most cooked food items are considered to be normal/ordinary (noa) in Maori culture. This means they must not come into contact with sacred objects, people or spaces.
- Do not bring food into any buildings, spaces or places considered tapu, such as the wharenui (traditional meeting house) in a marae (traditional Māori meeting ground).
- Food should not be passed over an individual’s head.
- It is a cultural taboo to sit on tables, countertops or other surfaces that are used for food preparation or eating.
- There may be ritual protocols to bless or cleanse a tapu space or place before you enter, such as reciting a karakia or cleansing the area with water.
- Ask a Māori person’s permission before photographing, filming or taping them.
- Some Maori communities may not allow digital recording devices into their marae (traditional meeting ground) or other sites of significance. Recording these places without permission can be a violation of tapu.6
- Some Māori have tribal tattoos on their faces, arms and calves that have cultural and spiritual significance. These do not hold negative connotations (i.e. prison sentences) as they do in some other cultures. All traditional Māori tribal tattoos are deeply personal and unique to the individual’s tribal group, representing important family history and/or tribal narratives.
- The wearing of pounamu (greenstone) and/or bone necklaces is common practice among Māori. The shape of each pounamu carries important meaning.
- It is appropriate to ask about the significance of a person’s pounamu if you are interested.
- Non-Māori may wear pounamu if they have been gifted it. To be gifted a piece signifies much about the value and respect between the giver and receiver.7
- It is not uncommon for non-Māori New Zealanders to wear pounamu or get Māori-inspired tattoos. However, this is often for aesthetic purposes, as opposed to traditional cultural practices.
- While it is not necessarily culturally inappropriate for non-Māori to purchase pounamu for themselves, it is generally advised against as it diminishes the cultural significance behind gifted possession.
",Etiquette,basic_etiquette,Respect for personal belongings and property.,"It is proper to avoid sitting on tables, countertops, or other surfaces used for food preparation or eating.","During a visit to her friend's house, Alice noticed a beautifully carved object on the mantelpiece. Without asking, she picked it up to admire its details closely. Is what Alice did socially acceptable?",Irrelevant.,neutral,new_zealand,English Speaking
184,2406,australia,"### Basic Etiquette
- People are rarely criticised if someone fails to observe formal etiquette (e.g. forgetting to dress smartly). Commenting on someone’s poor manners can be seen as overly formal.
- Moderate swearing is common among friends and is not always considered rude.
- Women are seen as capable individuals who can help themselves. Therefore, it is not considered wholly necessary for men to open car doors (etc.) for women. Doing so is recognised as very polite and courteous, but can also sometimes be seen as patronising depending on the circumstance.
- When out to eat or for a drink, split bills equally by having people pay only for the food and drink they’ve ordered. It is a common practice to buy ‘rounds’ of drinks while out with a group. If it is your round, you are expected to buy drinks for everyone you are with. Each individual who receives a drink will be expected to pay for at least one round.
- Being reluctant to part with cash or share food or drink is seen as ‘stingy’ if other people have paid their share. Furthermore, asking friends to pay for you on more than one occasion is seen as ‘scabbing’ and creates a bad reputation.
- Being overdressed for a gathering is sometimes considered more embarrassing than being underdressed.
- 
- It is considered impolite to ask a direct question about a person’s salary or wealth. Inquiring about someone's weight or age is also highly inappropriate in many situations.
- Spitting in public is rude.
- If there is a line for something, always queue and wait for your turn.
- To call over a waiter or person of service, do not wave or yell. Instead, keep an eye out for them until they make eye contact, and then nod or raise your hand. You can also gently say “excuse me” as they pass by.
- Tipping is not necessary in restaurants or places of service in Australia. People rarely leave tips or only do so if they received service that was exceedingly excellent.
- Always say please when asking someone for help or a favour or you will come across as rude.
- Punctuality is important in Australia, and people stick to the appointments, engagements and meetings they schedule. If someone expects they will be more than 10 minutes late, they usually text or call the person to let them know in advance. That being said, punctuality has more importance in professional settings than in social ones. Friends will forgive tardiness so long at it is not a reoccurring pattern.
",Etiquette,basic_etiquette,Punctuality and time management in appointments and social engagements.,One should inform others if expecting to be more than 10 minutes late to an appointment or meeting.,"During a book club meeting at a friend's house, Alex decided to start discussing the assigned book before the oldest member had arrived. Is what Alex did socially acceptable?","Given the lack of cultural context provided, it's unclear whether Alex's actions were socially acceptable or not.",neutral,australia,English Speaking
185,2694,united_states_of_america,"### Eating
- American cuisines vary across regions in the United States. For example, southern-style cooking (often called ""American comfort food"") includes dishes such as fried chicken, collard greens and cornbread.
- Cuisines may also differ depending on the dominant migration populations in the region. For example, it is common to find a blend of South American and Mexican cooking styles throughout the states closer to Mexico and the Gulf of Mexico. This includes items such as chilli and burritos, and relies heavily on shredded cheese and beans.
- Wait until everyone has been seated and served before eating. The host often indicates when it is time to begin.
- In some religious households, families may say a blessing before beginning to eat (known as saying ‘grace’).
- In homes, dishes are usually passed around so that each person can get a share of food. If you find you do not want one of the dishes being passed around, it is acceptable to refuse by just continuing to pass it along.
- Ask for someone to pass a dish to you instead of reaching across the table to grab it.
- Napkins should be placed on your lap and kept there during the meal.
- Americans use cutlery to eat food unless eating certain fast foods.
- Hold the fork in the left hand and the knife in the right hand when cutting food. After cutting a bite-sized portion, the knife is placed down and the fork is swapped to the right hand to stab or scoop the food. Food is placed into the mouth with the fork tongs curving in the upward direction.
- Note that this American norm of swapping the fork between hands differs from the European use of cutlery where the fork remains in the left hand and food is placed in the mouth with tongs facing downwards.
- Do not cut up all the food on your plate at once. This is the way food is fed to young children.
- The pause to swap the fork between hands to cut food slows down eating and allows for more conversation over the meal.
- Americans have a distinct set of ‘finger-foods’ which are expected to be eaten with fingers, such as pizza, tacos or burgers. They may think it is strange or unusual if you eat pizza with a fork or cut a burrito into smaller bites.
- It is polite to offer to refill other people’s drinks or pass them dishes at the table.
- It is rude to eat with your mouth open, lick your plate, bowl or knife, talk while there is still food in your mouth, burp out loud, or lick food off your fingers.
- It is acceptable to mop up any remaining food in your plate/bowl with bread that was served as part of the meal. This is a sign that you enjoyed the meal and is a compliment to the cook.
- Guests may accept second servings when offered. This indicates they find the meal tasty and appreciate the hosts generosity.
- Children will frequently be seated at a separate ‘kids table’, allowing adults to have more discreet conversations over meals. Children will sometimes be presented with a different menu selection of simpler foods and may eat at a different (usually earlier) time.
- If children are seated at the same table as adults, they may ask to be excused from the table once they have finished eating. This is a polite way of exiting if they do not wish to sit quietly or join in the adult conversation.
- American restaurants tend to serve quite large portion sizes. It is acceptable to ask to have any left-over food repackaged to take home with you after eating out.
- If eating the meal in someone’s home, it is polite for guests to offer to help clear the table or wipe up dishes after the meal to reciprocate the host’s generosity and show gratitude.
",Etiquette,eating,Respect for individual dietary habits and cleanliness in dining.,One must not reach across the table to grab a dish but should ask someone to pass it.,"During a family dinner at her friend's house, Jamie noticed that everyone washed their hands at the table before starting to eat. Jamie, however, did not wash her hands and began eating as soon as the food was served. Is what Jamie did socially acceptable?",Irrelevant,neutral,united_states_of_america,English Speaking
186,2526,new_zealand,"### Eating Out
- If you are eating at a restaurant, it is important to be punctual as people will wait for you before they order their food.
- The person who invited people to the restaurant may pay the full bill. However, it is common practice to split the total cost of the bill evenly among everyone, or for each person to pay for what they ordered.
- It is a common practice to buy ‘rounds’ of drinks while dining out with a group. If it is your round (also called ‘your shout’), you are expected to buy drinks for everyone you are with. Each individual who receives a drink will be expected to pay for at least one round.
- Being reluctant to share the cost of food or drink is seen as cheap or ‘stingy’ if others have paid their share or paid for your meals in the past. Asking or expecting friends to pay for you on more than one occasion creates a bad reputation. You should ensure that you cover your own costs when dining out and make an effort to reciprocate if someone has paid for your meal previously.
",Etiquette,eating,Punctuality in social gatherings.,It is important to be punctual when meeting others for a meal.,"Jordan was at a friend's house for a small get-together. Several friends took turns buying rounds of drinks throughout the evening, but Jordan didn't offer to buy a round, even though he had accepted drinks from others. Is what Jordan did socially acceptable?","It is common courtesy to reciprocate when someone buys you a drink by offering to buy a round yourself. Hence, while there's no explicit rule against what Jordan did, it may not align with reciprocal social expectations in some cultures.",neutral,new_zealand,English Speaking
187,2273,ireland,"### Eating
- The main meal is dinner, which is in the evening.
- When possible, a family will sit down together to share their dinner.
- Table manners are quite informal and relaxed. However, there are a couple of etiquette customs to follow.
- Avoid putting your elbows on the dinner table.
- Loud noises while eating, such as slurping, are generally not acceptable at the dining table.
- It is considered polite to finish all the food on your plate.
- To say cheers, most Irish will say ‘sláinte’ (pronounced ‘slan-cha’).
",Etiquette,eating,Maintaining table manners such as not putting elbows on the table.,Avoid putting your elbows on the dinner table to maintain good table manners.,"During a meal at a friend's house, Alex decided to use both hands to eat, noticing that everyone else at the table was doing the same. Is what Alex did socially acceptable?","The action of using both hands to eat does not directly relate to the specific cultural etiquette of avoiding elbows on the table or respecting religious dietary restrictions. Hence, whether it's socially acceptable depends on the context, which is not provided in the story.",neutral,ireland,English Speaking
188,2695,united_states_of_america,"### Eating
- American cuisines vary across regions in the United States. For example, southern-style cooking (often called ""American comfort food"") includes dishes such as fried chicken, collard greens and cornbread.
- Cuisines may also differ depending on the dominant migration populations in the region. For example, it is common to find a blend of South American and Mexican cooking styles throughout the states closer to Mexico and the Gulf of Mexico. This includes items such as chilli and burritos, and relies heavily on shredded cheese and beans.
- Wait until everyone has been seated and served before eating. The host often indicates when it is time to begin.
- In some religious households, families may say a blessing before beginning to eat (known as saying ‘grace’).
- In homes, dishes are usually passed around so that each person can get a share of food. If you find you do not want one of the dishes being passed around, it is acceptable to refuse by just continuing to pass it along.
- Ask for someone to pass a dish to you instead of reaching across the table to grab it.
- Napkins should be placed on your lap and kept there during the meal.
- Americans use cutlery to eat food unless eating certain fast foods.
- Hold the fork in the left hand and the knife in the right hand when cutting food. After cutting a bite-sized portion, the knife is placed down and the fork is swapped to the right hand to stab or scoop the food. Food is placed into the mouth with the fork tongs curving in the upward direction.
- Note that this American norm of swapping the fork between hands differs from the European use of cutlery where the fork remains in the left hand and food is placed in the mouth with tongs facing downwards.
- Do not cut up all the food on your plate at once. This is the way food is fed to young children.
- The pause to swap the fork between hands to cut food slows down eating and allows for more conversation over the meal.
- Americans have a distinct set of ‘finger-foods’ which are expected to be eaten with fingers, such as pizza, tacos or burgers. They may think it is strange or unusual if you eat pizza with a fork or cut a burrito into smaller bites.
- It is polite to offer to refill other people’s drinks or pass them dishes at the table.
- It is rude to eat with your mouth open, lick your plate, bowl or knife, talk while there is still food in your mouth, burp out loud, or lick food off your fingers.
- It is acceptable to mop up any remaining food in your plate/bowl with bread that was served as part of the meal. This is a sign that you enjoyed the meal and is a compliment to the cook.
- Guests may accept second servings when offered. This indicates they find the meal tasty and appreciate the hosts generosity.
- Children will frequently be seated at a separate ‘kids table’, allowing adults to have more discreet conversations over meals. Children will sometimes be presented with a different menu selection of simpler foods and may eat at a different (usually earlier) time.
- If children are seated at the same table as adults, they may ask to be excused from the table once they have finished eating. This is a polite way of exiting if they do not wish to sit quietly or join in the adult conversation.
- American restaurants tend to serve quite large portion sizes. It is acceptable to ask to have any left-over food repackaged to take home with you after eating out.
- If eating the meal in someone’s home, it is polite for guests to offer to help clear the table or wipe up dishes after the meal to reciprocate the host’s generosity and show gratitude.
",Etiquette,eating,Respect for individual dietary preferences and customs during meals.,One must wait until everyone has been served before beginning to eat.,"During a family dinner at their house, Alex was eagerly trying a new dish. Instead of using their right hand, Alex used both hands to serve themselves more efficiently from the shared platter. Is what Alex did socially acceptable?",Irrelevant.,neutral,united_states_of_america,English Speaking
189,2525,new_zealand,"### Eating Out
- If you are eating at a restaurant, it is important to be punctual as people will wait for you before they order their food.
- The person who invited people to the restaurant may pay the full bill. However, it is common practice to split the total cost of the bill evenly among everyone, or for each person to pay for what they ordered.
- It is a common practice to buy ‘rounds’ of drinks while dining out with a group. If it is your round (also called ‘your shout’), you are expected to buy drinks for everyone you are with. Each individual who receives a drink will be expected to pay for at least one round.
- Being reluctant to share the cost of food or drink is seen as cheap or ‘stingy’ if others have paid their share or paid for your meals in the past. Asking or expecting friends to pay for you on more than one occasion creates a bad reputation. You should ensure that you cover your own costs when dining out and make an effort to reciprocate if someone has paid for your meal previously.
",Etiquette,eating,Generosity and sharing in social interactions.,It is expected to bring a gift or offer a token of appreciation when visiting someone's home.,"At a group dinner, Alex noticed that Jamie hadn't offered to pay for their share of the meal or volunteered for a round of drinks, despite everyone else doing so. Is what Jamie did socially acceptable?","Without explicit cultural context, evaluating Jamie's action solely on the generic rule-of-thumb around group dinners makes it difficult to determine social acceptability.",neutral,new_zealand,English Speaking
190,2520,new_zealand,"### Gift Giving
- Gifts are typically only given on special occasions (e.g. birthdays, Christmas or if someone has done something special for you).
- People tend to open gifts in front of the giver, either upon receiving them or later along with other presents.
- If you are presented with a gift on behalf of a Māori person or community, it is expected that you open it right away.1
- Recipients do not usually expect to receive gifts of a high monetary value, but rather expect that the gift will be thoughtfully chosen to reflect their interests.
- Token gifts may be given when visiting someone (e.g. wine, chocolate, or flowers).
- Guests invited to a Māori house should bring a small simple gift, known as a ‘koha’. Koha is used to show thanks for hospitality and is often given in the form of food, drinks, flowers or photos of your homeland.
- There are no set expectations on the monetary value of koha items. It is expected that koha should only be what people can afford. However, as a general guideline $20 NZD per person is a standard koha when visiting a marae for personal reasons. For business or government service related visits, additional koha of a larger sum should be provided by your organisation.
- Visitors should give their koha to one person who presents it on behalf of the group. If you are staying overnight (noho marae), it is good practice to contact the marae chair beforehand to organise an appropriate koha to cover all costs related to your stay.2
",Etiquette,gifts,The importance of personalized and thoughtfully chosen gifts.,One must open gifts immediately upon receipt to show appreciation.,"At a dinner gathering, Alex and their friends decided to each buy a separate gift for the host. Is what Alex and their friends did socially acceptable?",Irrelevant.,neutral,new_zealand,English Speaking
191,2699,united_states_of_america,"### Gift Giving
- Gifts are usually given on special occasions and are often accompanied by a card.
- People tend to open gifts in front of the giver, either upon receiving them or later along with other presents.
- For occasions that require a gift (e.g. birthday, wedding, baby shower), a modest value of about $25 is acceptable unless you know the recipient very well.
- It is rude to ask directly how much a gift costs.
- It is also generally inappropriate to give someone a gift of cash, unless previously agreed upon.
- Gifts that are given as a personal gesture outside of special occasions are often grander or more heartfelt. For example, to reflect deep gratitude for a favour someone has done for you, you may give them sports tickets or take them to an expensive restaurant.
- It is polite to bring a small gift as a gesture of appreciation when invited to someone’s house or a dinner party (e.g. wine, chocolate).
- It is expected that the receiver gives effusive praise of a gift, regardless of its size, appeal, monetary worth, etc. It is common for the receiver to state how they will intend to use the gift as a gesture of genuine appreciation.
- Complaints or negative comments about a gift are considered extremely rude, even if the gift was broken, unusual or inappropriate. Commenting that you already have the same item is also considered rude.
- It is insulting to give away, re-gift or throw away a gift. If you do so, do not make this known to the gift-giver.
",Etiquette,gifts,Respect for reciprocity and community sharing.,It is expected to return a container with something in it when given something.,"At a housewarming party, Alex received a gift that they already owned. Instead of expressing gratitude, Alex mentioned this fact to the giver. Is what Alex did socially acceptable?",Irrelevant.,neutral,united_states_of_america,English Speaking
192,1998,united_kingdom,"### Gift Giving
- Gifts are typically only given on special occasions (e.g. birthdays, Christmas).
- People tend to open gifts in front of the giver, either upon receiving them or later along with other presents.
- Recipients don’t usually expect to receive gifts of a high monetary value, but rather that the gift will reflect their interests.
- Token gifts may be given when visiting someone (e.g. wine, chocolate).
",Etiquette,gifts,Consideration in selecting gifts that reflect personal interests.,It is okay to open gifts either immediately or later in the presence of others.,Alice attended a friend's housewarming party and decided to gift a beautiful set of kitchen knives as a symbol of good luck for the new home. Is what Alice did socially acceptable?,Irrelevant,neutral,united_kingdom,English Speaking
193,2287,ireland,"### Gift Giving
- When invited to a friend's or relative's home, it is common to bring a small gift (e.g. flowers, wine or chocolates) as a token of appreciation.
- Gifts are typically exchanged on birthdays and Christmas.
- The thought of a gift is considered more important than its material worth.
- Gifts are usually opened when received.
",Etiquette,gifts,Appreciation for the thought behind a gift regardless of its material worth.,It is polite to open gifts as soon as they are received to show appreciation.,"During a party at Alex's house, Taylor received a beautifully wrapped gift from Alex. A week later, Taylor sent Alex a smaller, but equally thoughtful gift as a gesture of appreciation for the party and the previous gift. Is what Taylor did socially acceptable?","The story doesn't provide enough context to determine social acceptability based on the information given alone, making the question of social acceptability irrelevant.",neutral,ireland,English Speaking
194,2405,australia,"### Gifts
- Gifts are usually only given on special occasions (e.g. birthdays, Christmas).
- People tend to open gifts in front of the giver, either upon receiving them or later along with other presents.
- Recipients do not usually expect to receive gifts of a high monetary value, but rather that the gift will reflect their interests.
- Token gifts may be given when visiting a house (e.g. beer, wine, chocolate).
",Etiquette,gifts,The importance of gift-giving reflective of the recipient's interests.,It is polite to open gifts in front of the giver to show appreciation.,Alex decided to surprise their friend Jamie by showing up at Jamie's house unannounced with a gift. Is what Alex did socially acceptable?,"The action of showing up unannounced disregards the rule of making arrangements or calling ahead, which is considered polite in some cultures. However, given the absence of any cultural context or geographical location, the social acceptability of Alex's action remains irrelevant.",neutral,australia,English Speaking
195,2281,ireland,"### Visiting
- ‘Calling by’ (visiting) is common. Typically, if one wants to visit someone, they will ask in advance.
- Visiting people is most common during holidays, especially in the time between Christmas and New Year’s Day.
- If invited to an Irish home, try to be punctual. If you will be late, let your host know.
- If you are visiting for a meal, offer to help the host clean up after the meal.
",Etiquette,visiting,Acceptance of hospitality and participating in social activities.,One should accept all offerings from the host as a gesture of politeness.,"Chris was invited to dinner at Jordan's place for a get-together with some friends. Running late due to traffic, Chris did not inform Jordan or anyone else that he would be arriving late to the dinner. Is what Chris did socially acceptable?",Irrelevant.,neutral,ireland,English Speaking
196,2692,united_states_of_america,"### Visiting
- Visits to American households are fairly informal. However, this can also vary depending on the purpose of the visit or the level of conservatism of the family.
- Organise your visit in advance. Americans rarely visit each other without making plans to do so.
- Many Americans have pets (e.g. dogs and cats). If you are allergic to an animal or feel uncomfortable being in the same room as an animal, you should let your host know in advance.
- Do not bring other friends and family with you unless you’ve asked your host beforehand.
- If it is an intimate visit (e.g. just you and the host), try and be as punctual as possible. It is best to notify your host if you are running late.
- If it is a larger social gathering or party, Americans commonly arrive roughly 30 minutes to an hour after the stated time. This is especially common if the guest doesn’t know the host very personally, or does not know many of the other people attending .
- It is generally normal for people to enter a home without taking their shoes off, unless the host specifically asks guests to take them off.
- In American households, it is unusual for hosts to routinely offer food or snacks – unless the guest has arrived at a meal time.
- If the host asks whether you would like food, it is expected you answer honestly. Americans tend to take their guests’ answers at face-value and are unlikely to be offended when a guest declines food. If you politely decline (e.g. ""No thanks, I'm not hungry""), do not expect your host to serve you regardless, even if the family is eating a meal.
- American households may or may not offer a small drink to guests. Guests are often expected to make a request themselves if they want something to drink. Hosts may then direct them to where and how to get the drink themselves (e.g. ""There's soda in the fridge"" or ""There's water cups in the cupboard above left of the stove”).
- Alcohol is usually only served to close friends or on special occasions.
- Avoid overstaying your welcome by remaining at a person's home longer than expected, unless they explicitly ask you to stay.
",Etiquette,visiting,Respecting host's preferences regarding home cleanliness.,It's okay to enter a home with shoes on unless the host specifies otherwise.,"During a game night at Chris's house, Alex felt really thirsty. Instead of asking for a drink, Alex waited, hoping Chris would offer something. Is what Alex did socially acceptable?","There are no expectations in the given cultural context that the host will automatically offer drinks or that the guest should not express their needs. Hence, whether Alex's behavior is socially acceptable depends on the norms of the place they are in, which are not specified.",neutral,united_states_of_america,English Speaking
197,2414,australia,"### Visiting
- People usually visit one another simply for the company and conversation with the primary purpose being socialisation, not feasting. Thus, Australians sometimes find it awkward and overly-formal when people prepare a large amount food for their visit or are extreme in their hospitality during the visit. For example, they don’t naturally expect a tour of someone’s house.
- Arrange a visit before going to an Australian’s house. Do not arrive unannounced or bring friends and family along unless you’ve asked them beforehand.
- Ask the host ahead of time whether or not they would like you to bring a contribution (i.e. food or drink). It is common to bring a carton of beer or some other alcohol when visiting a friend.
- Avoid arriving early to one’s house.
- It is usually okay to be 10 to 15 minutes late to a small gathering of people. However, if you are meeting at a restaurant, it is important to be punctual as people will wait for you to order their food.
- Being late is more acceptable to parties and large social gatherings.
- Australians often host barbeques (BBQs) in which they dine informally in their outdoor areas (e.g. verandas, patios, gardens) and cook meat on their BBQ. When multiple people are invited it is sometimes expected that guests will contribute a dish to complement the meat (e.g. a fresh salad). This is sometimes referred to as ‘bringing a plate’.
- For parties or large gatherings, the host will tell guests whether they will supply the alcohol or if guests should bring their own drinks (BYO).
- If you visit an Australian home, you may not always receive a tour of the house, and many of the doors may be closed out of privacy.
- Avoid overstaying your welcome by remaining at an Australian’s home longer than they expected unless they urge you to stay.
- To indicate that you have finished eat your meal, lay your knife and fork down on the plate together. You may leave a small amount of food on your plate or clear it as neither should offend your host.
- If someone asks if you would like more food, it is okay to decline or accept depending on how hungry you are. Neither is considered rude.
- Offer to help clean up the meal with your host.
",Etiquette,visiting,Gratitude and respect through gestures.,One must bring a small symbolic gift when visiting someone's house for the first time.,"Jordan decided to drop by Alex's place without calling ahead, hoping to catch up over coffee. Jordan thought it would be a pleasant surprise. Is what Jordan did socially acceptable?",Irrelevant.,neutral,australia,English Speaking
